Year,Month,Type,ICEV,HEV,PHEV,HEV & PHEV,BEV,Total xEV,Not Specific,Other,Total
2564,10,Truck,4799,0,0,0,0,0,0,1516,6315
2564,10,Three Wheeler,6,0,0,0,1,1,0,0,7
2564,10,Mini MPV,0,0,0,0,0,0,0,0,0
2564,10,Bus,198,0,0,0,68,68,0,0,266
2564,11,Truck,5043,0,0,0,0,0,0,1469,6512
2564,11,Passenger Car and Pickup Truck,56668,2756,646,3402,175,3577,0,0,60245
2564,11,Mini MPV,0,0,0,0,0,0,0,0,0
2564,11,Bus,301,0,0,0,2,2,0,0,303
2564,11,Three Wheeler,9,0,0,0,4,4,0,0,13
2564,12,Truck,4602,0,0,0,1,1,0,1234,5837
2564,12,Three Wheeler,4,0,0,0,3,3,0,0,7
2564,12,Passenger Car and Pickup Truck,47177,2215,553,2768,135,2903,0,0,50080
2564,12,Mini MPV,1,0,0,0,0,0,0,0,1
2564,12,Bus,333,0,0,0,45,45,0,0,378
2564,Total,Three Wheeler,97,0,0,0,32,32,0,0,129
2564,Total,Passenger Car and Pickup Truck,736568,34339,7060,41399,1958,43357,0,0,779925
2564,Total,Mini MPV,15,0,0,0,0,0,0,0,15
2564,Total,Bus,3420,0,0,0,119,119,0,2,3541
2564,Total,Truck,57630,0,0,0,2,2,0,16241,73873
2565,01,Bus,306,0,0,0,0,0,0,0,306
2565,01,Mini MPV,0,0,0,0,0,0,0,0,0
2565,01,Passenger Car and Pickup Truck,74569,4335,722,5057,264,5321,0,0,79890
2565,01,Three Wheeler,7,0,0,0,19,19,0,0,26
2565,01,Truck,5009,0,0,0,0,0,0,1487,6496
2565,02,Bus,221,0,0,0,7,7,0,0,228
2565,02,Mini MPV,0,0,0,0,0,0,0,0,0
2565,02,Passenger Car and Pickup Truck,71624,5336,957,6293,342,6635,0,0,78259
2565,02,Three Wheeler,10,0,0,0,15,15,0,0,25
2565,02,Truck,4817,0,0,0,0,0,0,1153,5970
2565,03,Bus,248,0,0,0,12,12,0,0,260
2565,03,Truck,5523,0,0,0,0,0,0,1566,7089
2565,03,Three Wheeler,14,0,0,0,3,3,0,0,17
2565,03,Passenger Car and Pickup Truck,87622,7257,1290,8547,645,9192,0,0,96814
2565,03,Mini MPV,0,0,0,0,0,0,0,0,0
2565,04,Truck,4647,0,0,0,0,0,0,1231,5878
2565,04,Bus,264,0,0,0,0,0,0,0,264
2565,04,Mini MPV,3,0,0,0,0,0,0,0,3
2565,04,Passenger Car and Pickup Truck,60807,3253,623,3876,174,4050,0,0,64857
2565,04,Three Wheeler,8,0,0,0,0,0,0,0,8
2565,05,Bus,267,0,0,0,30,30,0,0,297
2565,05,Truck,5188,0,0,0,1,1,0,1498,6687
2565,05,Three Wheeler,11,0,0,0,64,64,0,0,75
2565,05,Passenger Car and Pickup Truck,75296,5334,1056,6390,519,6909,0,0,82205
2565,05,Mini MPV,1,0,0,0,0,0,0,0,1
2565,06,Bus,277,0,0,0,0,0,0,0,277
2565,06,Mini MPV,0,0,0,0,0,0,0,0,0
2565,06,Passenger Car and Pickup Truck,72009,5581,1085,6666,877,7543,0,0,79552
2565,06,Three Wheeler,17,0,0,0,11,11,0,0,28
2565,06,Truck,5025,0,0,0,10,10,0,1371,6406
2565,07,Bus,330,0,0,0,0,0,0,0,330
2565,07,Mini MPV,0,0,0,0,0,0,0,0,0
2565,07,Passenger Car and Pickup Truck,55627,4496,775,5271,577,5848,0,0,61475
2565,07,Three Wheeler,9,0,0,0,22,22,0,0,31
2565,07,Truck,4649,0,0,0,3,3,0,1396,6048
2565,08,Bus,396,0,0,0,52,52,0,0,448
2565,08,Mini MPV,0,0,0,0,0,0,0,0,0
2565,08,Passenger Car and Pickup Truck,67764,5756,987,6743,1189,7932,0,0,75696
2565,08,Three Wheeler,20,0,0,0,16,16,0,0,36
2565,08,Truck,5558,0,0,0,0,0,0,1714,7272
2565,09,Truck,4737,0,0,0,2,2,0,1394,6133
2565,09,Bus,427,0,0,0,158,158,0,0,585
2565,09,Mini MPV,0,0,0,0,0,0,0,0,0
2565,09,Passenger Car and Pickup Truck,76275,6675,1083,7758,1066,8824,0,0,85099
2565,09,Three Wheeler,15,0,0,0,12,12,0,0,27
2565,10,Mini MPV,0,0,0,0,0,0,0,0,0
2565,10,Bus,405,1,0,1,161,162,0,0,567
2565,10,Truck,4742,0,0,0,3,3,0,1449,6194
2565,10,Three Wheeler,13,0,0,0,8,8,0,0,21
2565,10,Passenger Car and Pickup Truck,55624,4991,899,5890,1236,7126,0,0,62750
2565,11,Truck,4832,0,0,0,0,0,0,1597,6429
2565,11,Three Wheeler,12,0,0,0,41,41,0,0,53
2565,11,Mini MPV,0,0,0,0,0,0,0,0,0
2565,11,Bus,405,0,0,0,221,221,0,0,626
