X,Y,Name,Dealership,Address,Latitude,Longitude,Provider,Power
100.3713,13.787376,BCP - บรมราชชนนี กม. 10 ขาเข้า,Non-dealership,474 ถนนบรมราชชนนี แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,13.787376,100.3713,MG,
100.385863,13.619159,BCP - ก้าวไกลแก๊ส,Non-dealership,698/1 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน จังหวัดกรุงเทพมหานคร 10150,13.619159,100.385863,MG,
100.617914,13.736749,BCP - พัฒนาการ 27,Non-dealership,1348 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,13.736749,100.617914,MG,
100.710495,13.796889,BCP - รามคำแหง 164,Non-dealership,8/4 ถนนรามคำแหง แขวงมีนบุรี เขตมีนบุรี จังหวัดกรุงเทพมหานคร 10510,13.796889,100.710495,MG,
100.746935,13.745626,BCP - ร่มเกล้า,Non-dealership,179/9 ถนนร่มเกล้า แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520,13.745626,100.746935,MG,
100.45145,13.9151,BCP - ราชพฤกษ์ 2,Non-dealership,54/11 หมู่ 2 ถนนราชพฤกษ์ ตำบลบางพลับ อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,13.9151,100.45145,MG,
100.745479,13.617978,BCP - บางนา – ตราด กม.16,Non-dealership,4/43 หมู่ที่ 1 ตำบลบางโฉลง อำเภอบางพลี จังหวัดสมุทรปราการ 10540,13.617978,100.745479,MG,
100.660484,13.776675,BCP - เสรีไทย,Non-dealership,131 ถนนเสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230,13.776675,100.660484,MG,
100.619851,13.825431,BCP - สตรีวิทย์ 2,Non-dealership,392/1 ถนนสุคนธสวัสดิ์ แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,13.825431,100.619851,MG,
100.640145,13.650875,BCP - ศรีนครินทร์,Non-dealership,887 หมู่ที่ 5 ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10270,13.650875,100.640145,MG,
101.810615,6.415738,วี.จี. คาร์ (สาขากระบี่),Non-dealership,"60 Moo 2, Petchkasem Rd., Krabinoi Sub-District, Muang Krabi District, Krabi Province 81000",6.415738,101.810615,MG,
100.662849,13.71824,BCP - อ่อนนุช 55,Non-dealership,287/3 ถนนอ่อนนุช แขวงประเวศ เขตประเวศ จังหวัดกรุงเทพมหานคร 10250,13.71824,100.662849,MG,
100.792169,13.598877,BCP - บางนา – ตราด กม. 22,Non-dealership,46/1 หมู่ที่ 1 ตำบลศรีษะจรเข้ใหญ่ อำเภอบางเสาธง จังหวัดสมุทรปรการ 10540,13.598877,100.792169,MG,
100.740784,13.822769,BCP - นิมิตใหม่ 2,Non-dealership,3/1 ถนนนิมิตใหม่ แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,13.822769,100.740784,MG,
100.85672,13.85555,BCP - เลียบวารี,Non-dealership,77 ถนนเลียบวารี แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530,13.85555,100.85672,MG,
100.670534,13.611028,BCP - เทพารักษ์ กม.9,Non-dealership,6/3 หมู่ที่ 3 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ 10540,13.611028,100.670534,MG,
100.692026,13.606314,BCP - เทพารักษ์ กม.11,Non-dealership,72 หมู่ที่ 4 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ 10540,13.606314,100.692026,MG,
100.840578,13.586703,BCP - บางนา – ตราด กม.27,Non-dealership,557 หมู่ที่ 1 ตำบลบางบ่อ อำเภอบางบ่อ จังหวัดสมุทรปราการ 10560,13.586703,100.840578,MG,
100.405487,13.955938,BCP - บางบัวทอง 2,Non-dealership,80 หมู่ที่ 9 ตำบลละหาร อำเภอบางบัวทอง จังหวัดนนทบุรี 11110,13.955938,100.405487,MG,
100.66358,13.844191,BCP - รามอินทรา 71 (คู้บอน),Non-dealership,92 คู้บอน รามอินทรา คันนายาว กรุงเทพมหานคร 10230,13.844191,100.66358,MG,
100.45015,13.88478,BCP - ราชพฤกษ์,Non-dealership,14/5 หมู่ที่ 5 บางรักน้อย เมืองนนทบุรี นนทบุรี 11000,13.88478,100.45015,MG,
100.45802,13.87455,BCP - รัตนาธิเบศน์,Non-dealership,79/12 หมู่ที่ 3 ตำบลบางรักน้อย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,13.87455,100.45802,MG,
