X,Y,Name,description,Name_EN,Power,Code,Address,Latitude,Longitude,Provider
100.4051439,13.6720256,ปตท กาญจนาภิเษก-บางบอน,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Kanchanapisek-Bangbon,120 kW,GWC-OR-0058,97/1 ถ.กาญจนาภิเษก แขวงบางบอนเหนือ เขตบางบอน กรุงเทพมหานคร 10150,13.6720256,100.4051439,PTT
100.0272956,9.5578463,ปตท บจ.น้ำมันสมุย,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT Samui Oil Co., Ltd",120 kW,GWC-OR-0224,106/43 หมู่ 1 ตำบลบ่อผุด อำเภอเกาะสมุย สุราษฎร์ธานี 84320,9.5578463,100.0272956,PTT
100.55613,13.77939,ปตท วิภาวดี (เดิม-สวัสดิการ ร.1 รอ.),"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT Vibhavadi,120 kW,GWC-OR-0225,181 ถ.วิภาวดีรังสิต แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,13.77939,100.55613,PTT
101.0519607,13.34036686,ปตท แอลพีจี บจก.ชยาภิวัฒน์,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)","LPG Station Chayapiwat Co.,Ltd",120 kW,GWC-OR-0128,42 หมู่ที่ 8 ชลบุรี-บ้านบึง หนองรี เมือง จังหวัดชลบุรี 20000,13.34036686,101.0519607,PTT
102.818741923563,16.4132817592348,ปตท เมืองขอนแก่น,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Muang Khon Kaen,120 kW,GWC-OR-0133,117/2 ม.7 ถ.มิตรภาพ ต.ในเมือง อ.เมืองขอนแก่น ขอนแก่น 40000,16.4132817592348,102.818741923563,PTT
100.604518,13.7715776,ปตท แยกประชาอุทิศ-ลาดพร้าว,"Delta AC Mini Plus: Type 2
ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Pracha Uthit-Ladprao,120 kW,GWC-OR-0117,359 ถ.ประดิษฐ์มนูธรรม แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,13.7715776,100.604518,PTT
100.5248681,13.7346043,ปตท สามย่าน,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Samyan,120 kW,GWC-OR-0118,1323 ถ.พระราม 4 แขวงวังไหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,13.7346043,100.5248681,PTT
99.1194370818713,10.501741191737,ปตท แอล.พี.จี. หจก.ละแมปิยะกรุ๊ป (เมือง),"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","LPG Auto Station Lamaepiya Group (Mueang) Part., Ltd",120 kW,GWC-OR-0161,"60/1, 60/2 หมู่ 1 ตำบลบ้านนา อำเภอเมืองชุมพร ชุมพร 86000",10.501741191737,99.1194370818713,PTT
101.7635995,15.19827606,ปตท หจก.น้ำมันสยามด่านขุนทด,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Siam Dankhuntod Oil,120 kW,GWC-OR-0112,459 ม.2 ถ.สีคิ้ว-ชัยภูมิ ต.ด่านขุนทด อ.ด่านขุนทด นครราชสีมา 30210,15.19827606,101.7635995,PTT
100.1242744,15.57735932,ปตท บจ.เค.ที.ดี.ปิโตรเลียม,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT K.T.D. Petroleum,120 kW,GWC-OR-0075,17/5 ม.7 ต.ยางตาล อ.โกรกพระ นครสวรรค์ 60170,15.57735932,100.1242744,PTT
